Date, Open, High, Low, Close, Volume, Adj Close, Dividend, Stock Split
2012-12-26, 519.00, 519.46, 511.12, 513.00, 75609100, 68.06,,
2012-12-24, 520.35, 524.25, 518.71, 520.17, 43938300, 69.01,,
2012-12-21, 512.47, 519.67, 510.24, 519.33, 149067100, 68.90,,
2012-12-20, 530.00, 530.20, 518.88, 521.73, 120422400, 69.22,,
2012-12-19, 531.47, 533.70, 525.50, 526.31, 112342300, 69.82,,
2012-12-18, 525.00, 534.90, 520.25, 533.90, 156421300, 70.83,,
2012-12-17, 508.93, 520.00, 501.23, 518.83, 189401800, 68.83,,
2012-12-14, 514.75, 518.13, 505.58, 509.79, 252394800, 67.63,,
2012-12-13, 531.15, 537.64, 525.80, 529.69, 156314900, 70.27,,
2012-12-12, 547.77, 548.00, 536.27, 539.00, 121786000, 71.51,,
2012-12-11, 539.77, 549.56, 537.37, 541.39, 148086400, 71.82,,
2012-12-10, 525.00, 538.51, 521.58, 529.82, 157621100, 70.29,,
2012-12-07, 553.40, 555.20, 530.00, 533.25, 196760200, 70.74,,
2012-12-06, 528.94, 553.31, 518.63, 547.24, 294303100, 72.60,,
2012-12-05, 568.91, 569.25, 538.77, 538.79, 261159500, 71.48,,
2012-12-04, 581.80, 581.80, 572.13, 575.85, 139267100, 76.40,,
2012-12-03, 593.65, 594.59, 585.50, 586.19, 91070000, 77.77,,
2012-11-30, 586.79, 588.40, 582.68, 585.28, 97829900, 77.65,,
2012-11-29, 590.22, 594.25, 585.25, 589.36, 128674700, 78.19,,
2012-11-28, 577.27, 585.80, 572.26, 582.94, 130216100, 77.34,,
2012-11-27, 589.55, 590.42, 580.10, 584.78, 133332500, 77.58,,
2012-11-26, 575.90, 590.00, 573.71, 589.53, 157644900, 78.21,,
2012-11-23, 567.17, 572.00, 562.60, 571.50, 68206600, 75.82,,
2012-11-21, 564.25, 567.37, 556.60, 561.70, 93250500, 74.52,,
2012-11-20, 571.91, 571.95, 554.58, 560.91, 160688500, 74.41,,
2012-11-19, 540.71, 567.50, 539.88, 565.73, 205829400, 75.05,,
2012-11-16, 525.20, 530.00, 505.75, 527.68, 316723400, 70.00,,
2012-11-15, 537.53, 539.50, 522.62, 525.62, 197477700, 69.73,,
2012-11-14, 545.50, 547.45, 536.18, 536.88, 119292600, 71.23,,
2012-11-13, 538.91, 550.48, 536.36, 542.90, 133237300, 72.02,,
2012-11-12, 554.15, 554.50, 538.65, 542.83, 128950500, 72.01,,
2012-11-09, 540.42, 554.88, 533.72, 547.06, 232478400, 72.58,,
2012-11-08, 560.63, 562.23, 535.29, 537.75, 264036500, 71.34,,
2012-11-07, 573.84, 574.54, 555.75, 558.00, 198412200, 74.03, 0.37857, 
2012-11-06, 590.23, 590.74, 580.09, 582.85, 93729300, 76.97,,
2012-11-05, 583.52, 587.77, 577.60, 584.62, 132283900, 77.21,,
2012-11-02, 595.89, 596.95, 574.75, 576.80, 149843400, 76.17,,
2012-11-01, 598.22, 603.00, 594.17, 596.54, 90324500, 78.78,,
2012-10-31, 594.88, 601.96, 587.70, 595.32, 127500800, 78.62,,
2012-10-26, 609.43, 614.00, 591.00, 604.00, 254608200, 79.77,,
2012-10-25, 620.00, 622.00, 605.55, 609.54, 164081400, 80.50,,
2012-10-24, 621.44, 626.55, 610.64, 616.83, 139631800, 81.46,,
2012-10-23, 631.00, 633.90, 611.70, 613.36, 176786400, 81.00,,
2012-10-22, 612.42, 635.38, 610.76, 634.03, 136682700, 83.73,,
2012-10-19, 631.05, 631.77, 609.62, 609.84, 186021500, 80.54,,
2012-10-18, 639.59, 642.06, 630.00, 632.64, 119156100, 83.55,,
2012-10-17, 648.87, 652.79, 644.00, 644.61, 97259400, 85.13,,
2012-10-16, 635.37, 650.30, 631.00, 649.79, 137442900, 85.81,,
2012-10-15, 632.35, 635.13, 623.85, 634.76, 108125500, 83.83,,
2012-10-12, 629.56, 635.38, 625.30, 629.71, 115003700, 83.16,,
2012-10-11, 646.50, 647.20, 628.10, 628.10, 136520300, 82.95,,
2012-10-10, 639.74, 644.98, 637.00, 640.91, 127589000, 84.64,,
2012-10-09, 638.65, 640.49, 623.55, 635.85, 209649300, 83.97,,
2012-10-08, 646.88, 647.56, 636.11, 638.17, 159498500, 84.28,,
2012-10-05, 665.20, 666.00, 651.28, 652.59, 148501500, 86.18,,
2012-10-04, 671.25, 674.25, 665.55, 666.80, 92681400, 88.06,,
2012-10-03, 664.86, 671.86, 662.63, 671.45, 106070300, 88.67,,
2012-10-02, 661.81, 666.35, 650.65, 661.31, 156998100, 87.33,,
2012-10-01, 671.16, 676.75, 656.50, 659.39, 135898700, 87.08,,
2012-09-28, 678.75, 681.11, 666.75, 667.10, 133777700, 88.10,,
2012-09-27, 664.29, 682.17, 660.35, 681.32, 148522500, 89.98,,
2012-09-26, 668.74, 672.69, 661.20, 665.18, 144125800, 87.85,,
2012-09-25, 688.26, 692.78, 673.00, 673.54, 129697400, 88.95,,
2012-09-24, 686.86, 695.12, 683.00, 690.79, 159941600, 91.23,,
2012-09-21, 702.41, 705.07, 699.36, 700.09, 142897300, 92.46,,
2012-09-20, 699.16, 700.06, 693.62, 698.70, 84142100, 92.27,,
2012-09-19, 700.26, 703.99, 699.57, 702.10, 81718700, 92.72,,
2012-09-18, 699.88, 702.33, 696.42, 701.91, 93375800, 92.70,,
2012-09-17, 699.35, 699.80, 694.61, 699.78, 99507800, 92.41,,
